Temporais,+/-
a medida que,+
a partir de,+
a seguir,+
agora que,+
além de,+
antes,+
ao passo que,+
apenas,+
após,+
assim,+
atualmente,+
até agora,+
até aqui,+
bem,+
bem como,+
daqui a pouco,+
de novo,+
depois,+
durante todo o tempo,+
em breve,+
em outra hora,+
em outra ocasião,+
em outra vez,+
em outro momento,+
em seguida,+
enquanto,+
finalmente,+
imediatamente,+
já,+
logo,+
logo após,+
mais distante,+
mais longe,+
mais tarde,+
mal,+
na condição de,+
nesse momento,+
nesse ponto,+
neste momento,+
neste ponto,+
novamente,+
outra vez,+
pelo menos,+
posteriormente,+
previamente,+
primeiramente,+
primeiro que,+
quando,+
repentinamente,+
simultaneamente,+
subitamente,+
tardio,+
todas as vezes que,+
um momento antes de,+
última vez,+
até que,-
