helpful_vote,location,published_month,published_day,level,interval_date,user_trip_type,hotel_sleep_quality,hotel_service,hotel_value,hotel_rooms,hotel_cleanliness,hotel_location,location_id,hotel_id
0,SP,1,1,1.099,0,c1,0,0,0,0,0,0,303631,580879
2,RJ,1,1,0.099,0,c2,0,0,0,0,0,0,303506,3435253
5,RJ,1,1,1.099,0,c1,4,5,4,0,4,4,303506,305477
0,PR,1,1,-1.901,0,c1,0,0,0,0,0,0,303441,301846
0,DF,1,1,0.099,0,c3,5,5,5,5,5,5,303322,1797197
0,RJ,1,1,1.099,0,c1,5,4,5,5,5,5,303506,301502
0,BA,1,1,-0.901,0,c2,0,0,0,0,0,0,303272,5588457
0,RJ,1,1,1.099,0,c4,5,5,5,5,5,5,303506,304329
0,SP,1,1,0.099,0,c4,3,5,4,4,5,5,303631,305476
2,RN,1,1,0.099,0,c3,5,5,5,4,5,5,303518,2445344
1,RS,1,1,0.099,0,c2,4,4,4,4,5,4,303546,1767585
2,RJ,1,1,-1.901,0,c1,0,0,0,0,0,0,303506,305418
1,CE,1,1,0.099,0,c1,0,0,0,0,0,0,303293,307015
0,RJ,1,1,0.099,0,c3,5,4,5,4,5,5,303506,301985
5,RJ,1,1,0.099,0,c1,0,5,0,0,0,0,303506,642551
1,PE,1,1,0.099,0,c4,0,0,0,0,0,0,304560,305982
4,RN,1,1,-2.901,0,c4,3,1,1,2,2,3,303518,1396841
2,PE,1,1,1.099,0,c5,5,5,5,5,5,4,304560,5957197
0,SP,1,1,-0.901,0,c5,0,0,0,0,0,0,303631,299849
1,RJ,1,2,0.099,1,c5,0,0,0,0,0,0,303506,2689513
0,MG,1,2,1.099,1,c5,0,0,0,0,0,0,303374,307472
3,RJ,1,2,1.099,1,c4,0,0,0,0,0,0,303506,2689513
1,RJ,1,2,0.099,1,c5,3,3,3,3,3,5,303506,305748
1,BA,1,2,0.099,1,c1,0,0,0,0,0,0,303272,304337
0,BA,1,2,0.099,1,c4,5,5,5,5,5,5,303272,304337
2,BA,1,2,-1.901,1,c5,0,0,0,0,0,0,303272,5277966
1,SP,1,2,1.099,1,c4,5,5,5,5,5,5,303631,302004
1,RS,1,2,1.099,1,c4,5,5,5,5,5,5,303546,306290
0,SP,1,2,0.099,1,c3,5,5,5,5,5,5,303631,305476
6,RJ,1,2,1.099,1,c5,5,5,5,5,5,5,303506,305632
0,SP,1,2,-0.901,1,c1,0,0,0,0,0,0,303631,299401
1,RN,1,2,1.099,1,c5,0,0,0,0,0,0,303518,2146840
2,SP,1,2,1.099,1,c4,5,5,5,5,5,5,303631,299401
0,RJ,1,2,-0.901,1,c5,4,3,4,3,3,4,303506,580884
1,RJ,1,2,-1.901,1,c1,2,2,1,3,4,5,303506,304506
2,PR,1,2,-0.901,1,c4,0,0,0,0,0,0,303441,350760
0,SP,1,2,-0.901,1,c4,3,3,3,3,4,3,303631,319936
0,PR,1,2,0.099,1,c2,4,4,5,4,3,5,303441,307045
1,RN,1,3,0.099,2,c4,4,4,2,4,4,5,303518,304339
2,PR,1,3,-1.901,2,c1,4,1,2,3,4,5,303441,498833
0,PR,1,3,-1.901,2,c1,5,2,3,5,5,5,303441,501230
2,PR,1,3,-1.901,2,c1,0,0,0,0,0,0,303441,498833
2,RN,1,3,-1.901,2,c3,0,0,0,0,0,0,303518,1230121
2,PR,1,3,-0.901,2,c1,0,0,0,0,0,0,303441,1015562
2,RN,1,3,0.099,2,c4,5,3,5,4,3,4,303518,307196
2,RJ,1,3,0.099,2,c5,0,0,0,0,0,0,303506,4454170
0,RJ,1,3,0.099,2,c4,5,4,4,4,5,4,303506,4454170
1,RJ,1,3,0.099,2,c1,5,5,5,5,5,3,303506,3179446
0,SP,1,3,0.099,2,c4,0,0,0,0,0,0,303631,2096508
3,PE,1,3,0.099,2,c1,3,3,4,4,3,4,304560,1400531
0,PR,1,3,-0.901,2,c1,4,4,3,4,3,4,303441,307022
0,RN,1,3,0.099,2,c5,3,4,5,3,4,5,303518,2261939
0,CE,1,3,0.099,2,c4,4,4,4,4,4,4,303293,299389
0,MG,1,3,0.099,2,c3,5,5,4,5,5,5,303374,307049
1,RN,1,3,-1.901,2,c5,0,0,0,0,0,0,303518,1727963
1,CE,1,3,0.099,2,c5,0,0,0,0,0,0,303293,299389
0,SP,1,3,0.099,2,c2,0,0,0,0,0,0,303631,953626
0,BA,1,3,1.099,2,c5,0,0,0,0,0,0,303272,3206271
0,PR,1,3,-0.901,2,c5,4,3,3,3,2,4,303441,2196000
0,DF,1,3,0.099,2,c1,0,0,0,0,0,0,303322,307068
1,SP,1,3,-2.901,2,c2,1,1,1,1,1,1,303631,4512432
0,BA,1,4,-0.901,3,c1,3,3,4,3,4,4,303272,1515239
0,PE,1,4,-0.901,3,c1,0,0,0,0,0,0,304560,305960
