helpful_vote,location,fleschsc,numsente,nunwords,nunsylla,meanwsen,meansypw,verb_cnt,noun_cnt,adjc_cnt,advb_cnt,pron_cnt,verb_inc,noun_inc,adjc_inc,advb_inc,pron_inc,location_id,hotel_id
0,SP,53.09,2,22,48,11.0,2.18,3,7,3,1,0,136.36,318.18,136.36,45.45,0.0,303631,580879
2,RJ,26.56,2,37,89,18.5,2.41,6,11,6,3,0,162.16,297.3,162.16,81.08,0.0,303506,3435253
5,RJ,68.5,6,42,86,7.0,2.05,7,11,5,7,0,166.67,261.9,119.05,166.67,0.0,303506,305477
0,PR,42.47,3,51,114,17.0,2.24,13,18,2,4,4,254.9,352.94,39.22,78.43,78.43,303441,301846
0,DF,53.88,2,43,88,21.5,2.05,6,13,5,1,1,139.53,302.33,116.28,23.26,23.26,303322,1797197
0,RJ,56.76,2,41,83,20.5,2.02,5,13,8,3,0,121.95,317.07,195.12,73.17,0.0,303506,301502
0,BA,49.11,3,51,110,17.0,2.16,8,14,8,4,2,156.86,274.51,156.86,78.43,39.22,303272,5588457
0,RJ,0.81,4,31,88,7.75,2.84,6,12,3,1,0,193.55,387.1,96.77,32.26,0.0,303506,304329
0,SP,58.77,2,30,62,15.0,2.07,8,5,9,2,0,266.67,166.67,300.0,66.67,0.0,303631,305476
2,RN,54.77,2,49,98,24.5,2.0,12,12,6,6,2,244.9,244.9,122.45,122.45,40.82,303518,2445344
1,RS,32.74,3,24,59,8.0,2.46,5,7,4,0,1,208.33,291.67,166.67,0.0,41.67,303546,1767585
2,RJ,56.42,3,21,46,7.0,2.19,3,5,6,1,0,142.86,238.1,285.71,47.62,0.0,303506,305418
1,CE,57.26,7,88,186,12.57,2.11,17,21,16,7,1,193.18,238.64,181.82,79.55,11.36,303293,307015
0,RJ,55.5,2,39,80,19.5,2.05,7,10,0,3,1,179.49,256.41,0.0,76.92,25.64,303506,301985
5,RJ,40.12,2,35,79,17.5,2.26,8,9,4,2,0,228.57,257.14,114.29,57.14,0.0,303506,642551
1,PE,54.65,6,43,95,7.17,2.21,8,16,5,2,0,186.05,372.09,116.28,46.51,0.0,304560,305982
4,RN,69.69,2,26,51,13.0,1.96,8,5,1,2,2,307.69,192.31,38.46,76.92,76.92,303518,1396841
2,PE,44.29,7,84,191,12.0,2.27,16,17,11,10,4,190.48,202.38,130.95,119.05,47.62,304560,5957197
0,SP,72.87,3,50,94,16.67,1.88,8,10,4,4,4,160.0,200.0,80.0,80.0,80.0,303631,299849
1,RJ,5.49,4,35,97,8.75,2.77,8,11,4,1,0,228.57,314.29,114.29,28.57,0.0,303506,2689513
0,MG,39.63,4,44,103,11.0,2.34,10,10,8,3,3,227.27,227.27,181.82,68.18,68.18,303374,307472
3,RJ,86.5,8,55,101,6.88,1.84,13,11,7,4,4,236.36,200.0,127.27,72.73,72.73,303506,2689513
1,RJ,36.63,9,42,103,4.67,2.45,8,16,6,1,0,190.48,380.95,142.86,23.81,0.0,303506,305748
1,BA,54.65,6,43,95,7.17,2.21,13,10,5,7,0,302.33,232.56,116.28,162.79,0.0,303272,304337
0,BA,66.97,5,43,88,8.6,2.05,9,8,6,6,0,209.3,186.05,139.53,139.53,0.0,303272,304337
2,BA,40.58,8,99,229,12.38,2.31,20,24,6,16,6,202.02,242.42,60.61,161.62,60.61,303272,5277966
1,SP,0.0,5,28,81,5.6,2.89,3,11,6,1,1,107.14,392.86,214.29,35.71,35.71,303631,302004
1,RS,24.23,3,51,125,17.0,2.45,12,16,4,2,3,235.29,313.73,78.43,39.22,58.82,303546,306290
0,SP,18.14,4,28,74,7.0,2.64,6,10,5,1,0,214.29,357.14,178.57,35.71,0.0,303631,305476
6,RJ,64.81,4,52,105,13.0,2.02,13,15,6,2,1,250.0,288.46,115.38,38.46,19.23,303506,305632
0,SP,52.77,3,31,68,10.33,2.19,6,6,2,3,2,193.55,193.55,64.52,96.77,64.52,303631,299401
1,RN,6.88,2,10,28,5.0,2.8,2,3,2,1,0,200.0,300.0,200.0,100.0,0.0,303518,2146840
2,SP,44.04,2,43,93,21.5,2.16,5,15,9,0,3,116.28,348.84,209.3,0.0,69.77,303631,299401
0,RJ,75.92,19,304,563,16.0,1.85,62,74,37,20,12,203.95,243.42,121.71,65.79,39.47,303506,580884
1,RJ,83.35,2,19,35,9.5,1.84,5,5,2,3,0,263.16,263.16,105.26,157.89,0.0,303506,304506
2,PR,50.75,4,33,74,8.25,2.24,6,9,6,3,0,181.82,272.73,181.82,90.91,0.0,303441,350760
0,SP,72.62,9,145,274,16.11,1.89,34,33,11,9,12,234.48,227.59,75.86,62.07,82.76,303631,319936
0,PR,69.99,7,120,229,17.14,1.91,18,34,15,11,4,150.0,283.33,125.0,91.67,33.33,303441,307045
1,RN,70.5,4,36,72,9.0,2.0,7,5,7,2,1,194.44,138.89,194.44,55.56,27.78,303518,304339
2,PR,47.38,3,43,95,14.33,2.21,11,9,1,2,2,255.81,209.3,23.26,46.51,46.51,303441,498833
0,PR,69.19,5,74,144,14.8,1.95,13,15,9,9,1,175.68,202.7,121.62,121.62,13.51,303441,501230
2,PR,71.64,8,92,180,11.5,1.96,25,21,7,6,7,271.74,228.26,76.09,65.22,76.09,303441,498833
2,RN,67.79,3,10,21,3.33,2.1,1,5,1,0,1,100.0,500.0,100.0,0.0,100.0,303518,1230121
2,PR,70.84,7,82,161,11.71,1.96,16,24,12,9,0,195.12,292.68,146.34,109.76,0.0,303441,1015562
2,RN,52.4,6,36,81,6.0,2.25,5,13,6,2,0,138.89,361.11,166.67,55.56,0.0,303518,307196
2,RJ,43.84,3,46,103,15.33,2.24,5,16,8,4,1,108.7,347.83,173.91,86.96,21.74,303506,4454170
0,RJ,65.12,4,75,146,18.75,1.95,14,18,9,10,5,186.67,240.0,120.0,133.33,66.67,303506,4454170
1,RJ,84.6,7,81,146,11.57,1.8,13,18,14,8,5,160.49,222.22,172.84,98.77,61.73,303506,3179446
0,SP,56.92,4,43,92,10.75,2.14,6,9,9,3,1,139.53,209.3,209.3,69.77,23.26,303631,2096508
3,PE,57.97,3,37,78,12.33,2.11,9,10,3,3,0,243.24,270.27,81.08,81.08,0.0,304560,1400531
0,PR,42.36,7,34,81,4.86,2.38,3,12,9,3,0,88.24,352.94,264.71,88.24,0.0,303441,307022
0,RN,72.09,4,62,118,15.5,1.9,10,17,8,3,4,161.29,274.19,129.03,48.39,64.52,303518,2261939
0,CE,28.07,2,9,23,4.5,2.56,2,3,1,0,0,222.22,333.33,111.11,0.0,0.0,303293,299389
0,MG,73.42,5,48,94,9.6,1.96,10,11,7,3,0,208.33,229.17,145.83,62.5,0.0,303374,307049
1,RN,67.37,6,54,110,9.0,2.04,11,16,3,4,1,203.7,296.3,55.56,74.07,18.52,303518,1727963
1,CE,60.77,8,45,97,5.63,2.16,9,13,4,5,1,200.0,288.89,88.89,111.11,22.22,303293,299389
0,SP,68.26,6,45,92,7.5,2.04,5,14,4,3,2,111.11,311.11,88.89,66.67,44.44,303631,953626
0,BA,52.78,10,161,342,16.1,2.12,37,36,14,18,2,229.81,223.6,86.96,111.8,12.42,303272,3206271
0,PR,45.41,3,43,96,14.33,2.23,9,12,3,2,2,209.3,279.07,69.77,46.51,46.51,303441,2196000
0,DF,55.39,6,60,130,10.0,2.17,10,17,6,4,1,166.67,283.33,100.0,66.67,16.67,303322,307068
1,SP,75.07,10,125,238,12.5,1.9,27,33,11,16,8,216.0,264.0,88.0,128.0,64.0,303631,4512432
0,BA,71.81,5,54,106,10.8,1.96,14,11,10,3,2,259.26,203.7,185.19,55.56,37.04,303272,1515239
0,PE,76.16,4,44,84,11.0,1.91,4,16,8,2,0,90.91,363.64,181.82,45.45,0.0,304560,305960
1,RS,51.91,2,7,16,3.5,2.29,1,3,1,1,0,142.86,428.57,142.86,142.86,0.0,303546,306292
5,RJ,44.13,5,36,84,7.2,2.33,5,11,7,5,0,138.89,305.56,194.44,138.89,0.0,303506,1778563
1,RJ,67.12,3,37,74,12.33,2.0,8,6,8,4,2,216.22,162.16,216.22,108.11,54.05,303506,1778563
0,PR,62.18,10,59,126,5.9,2.14,11,19,6,5,3,186.44,322.03,101.69,84.75,50.85,303441,300683
0,PR,60.12,9,196,386,21.78,1.97,40,50,16,13,11,204.08,255.1,81.63,66.33,56.12,303441,299417
0,SP,55.1,2,15,33,7.5,2.2,2,5,2,2,0,133.33,333.33,133.33,133.33,0.0,303631,312982
0,SP,49.3,3,48,104,16.0,2.17,8,17,7,4,0,166.67,354.17,145.83,83.33,0.0,303631,306557
4,PE,64.55,3,38,77,12.67,2.03,10,10,3,4,0,263.16,263.16,78.95,105.26,0.0,304560,305953
0,RJ,73.55,2,12,24,6.0,2.0,3,4,1,0,2,250.0,333.33,83.33,0.0,166.67,303506,3948405
1,RJ,63.39,4,37,77,9.25,2.08,8,9,2,6,2,216.22,243.24,54.05,162.16,54.05,303506,4454170
1,RN,52.32,6,58,128,9.67,2.21,13,16,7,9,0,224.14,275.86,120.69,155.17,0.0,303518,1086101
1,PR,67.22,4,55,109,13.75,1.98,11,16,7,3,0,200.0,290.91,127.27,54.55,0.0,303441,307223
3,CE,54.43,2,8,18,4.0,2.25,3,3,1,0,0,375.0,375.0,125.0,0.0,0.0,303293,482295
0,BA,51.1,2,17,38,8.5,2.24,2,5,7,0,0,117.65,294.12,411.76,0.0,0.0,303272,1738608
0,SP,58.83,4,82,164,20.5,2.0,18,24,7,3,3,219.51,292.68,85.37,36.59,36.59,303631,305460
0,BA,37.49,4,48,113,12.0,2.35,9,13,4,8,2,187.5,270.83,83.33,166.67,41.67,303272,312541
0,RJ,72.53,2,14,28,7.0,2.0,4,3,2,2,0,285.71,214.29,142.86,142.86,0.0,303506,299463
1,RJ,76.8,2,16,31,8.0,1.94,5,1,2,1,1,312.5,62.5,125.0,62.5,62.5,303506,299463
1,RJ,62.64,7,122,243,17.43,1.99,20,34,12,5,7,163.93,278.69,98.36,40.98,57.38,303506,301194
0,AM,42.43,4,54,123,13.5,2.28,5,23,5,2,2,92.59,425.93,92.59,37.04,37.04,303235,2176311
2,RJ,48.39,6,87,191,14.5,2.2,17,24,8,3,3,195.4,275.86,91.95,34.48,34.48,303506,4945525
3,RN,49.01,3,28,63,9.33,2.25,8,5,2,3,1,285.71,178.57,71.43,107.14,35.71,303518,2691208
0,SP,66.52,6,37,77,6.17,2.08,7,11,2,3,0,189.19,297.3,54.05,81.08,0.0,303631,301509
7,RJ,62.95,2,41,80,20.5,1.95,10,8,6,4,2,243.9,195.12,146.34,97.56,48.78,303506,1419828
0,BA,26.08,2,95,196,47.5,2.06,26,32,8,2,2,273.68,336.84,84.21,21.05,21.05,303272,299387
0,RJ,42.29,6,35,83,5.83,2.37,2,14,8,3,0,57.14,400.0,228.57,85.71,0.0,303506,3508509
0,MG,65.28,5,35,73,7.0,2.09,4,11,4,3,3,114.29,314.29,114.29,85.71,85.71,303374,306974
2,PE,44.02,5,63,143,12.6,2.27,15,11,5,7,2,238.1,174.6,79.37,111.11,31.75,304560,299405
0,SP,18.64,2,16,42,8.0,2.63,2,5,2,1,2,125.0,312.5,125.0,62.5,125.0,303631,299849
1,PE,70.3,5,46,92,9.2,2.0,12,8,7,4,0,260.87,173.91,152.17,86.96,0.0,304560,305960
1,CE,61.92,12,235,464,19.58,1.97,55,54,17,18,13,234.04,229.79,72.34,76.6,55.32,303293,301709
0,RN,59.7,10,62,134,6.2,2.16,18,17,4,4,1,290.32,274.19,64.52,64.52,16.13,303518,618543
